model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,onset_prevalence_test
1D-CNN-Onset,0.9764970913784712,0.6630949845563475,0.10970009092035747,0.34615515796821555,0.14573684505052337,0.9140910718073411,0.09165905245151464,0.005764619954872543
LSTM-Onset,0.9672369521510572,0.6725601809610313,0.11377650859893336,0.3743700166266491,0.1536183840022796,0.9181531664094355,0.10262909062487678,0.005764619954872543
No-Onset Baseline,0.9942372679648096,0.5,0.0,0.0,0.0,0.5,0.005762732035190315,0.005762732035190315
XGBoost-Onset,0.9852601051261715,0.655738613968521,0.17313054186964708,0.3225884737791078,0.1886202299513737,0.9373727754783111,0.14105770791933173,0.005762732035190315
