model,accuracy,precision,recall,f1,roc_auc,pr_auc
1D-CNN,0.9717974759496742,0.23034296944617358,0.4133423635136581,0.27514475932972454,0.9144496537028849,0.25423502902755307
LSTM,0.9651552012609677,0.24551350913409384,0.43137767448102804,0.2866174968566579,0.9092179554942588,0.2725281748280324
Persistence,0.988784762678301,0.5765356128273601,0.5752967955218026,0.575898784274341,0.7847781457117207,0.35112736524815863
XGBoost,0.979651337238067,0.40648031398740486,0.5067808188635504,0.4104259018036149,0.9539966612553905,0.41824359294309854
