item,task,station,model,manuscript_v5,legacy_result_csv,reproduced,diff_repro_minus_manuscript,diff_legacy_minus_manuscript,provenance_status
Table 3 F1,overall,Inje,XGBoost,0.247,0.0748663101604278,0.0282,-0.2188,-0.1721,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Inje,1D-CNN,0.186,0.0136986301369863,0.0544,-0.1316,-0.1723,D/E: manuscript value has NO matching stored result
Table 3 F1,overall,Inje,LSTM,0.255,0.0136054421768707,0.0348,-0.2202,-0.2414,D/E: manuscript value has NO matching stored result
Table 3 mean F1,overall,MEAN(12),Persistence,0.57,0.575898784274341,0.5777,0.0077,0.0059,D/E: manuscript value has NO matching stored result
Table 3 mean F1,overall,MEAN(12),XGBoost,0.575,0.41042590180361493,0.5073,-0.0677,-0.1646,D/E: manuscript value has NO matching stored result
Table 3 mean F1,overall,MEAN(12),1D-CNN,0.512,0.2751447593297245,0.3691,-0.1429,-0.2369,D/E: manuscript value has NO matching stored result
Table 3 mean F1,overall,MEAN(12),LSTM,0.552,0.2866174968566578,0.4295,-0.1225,-0.2654,D/E: manuscript value has NO matching stored result
Table 4 mean F1,onset,MEAN(12),XGBoost-Onset,0.228,0.1886202299513737,0.1876,-0.0404,-0.0394,D/E: manuscript value has NO matching stored result
Table 4 mean F1,onset,MEAN(12),1D-CNN-Onset,0.121,0.14573684505052334,0.1408,0.0198,0.0247,D/E: manuscript value has NO matching stored result
Table 4 mean F1,onset,MEAN(12),LSTM-Onset,0.139,0.15361838400227953,0.1659,0.0269,0.0146,D/E: manuscript value has NO matching stored result
Table 4 mean F1,onset,MEAN(12),No-Onset Baseline,0.0,0.0,0.0,0.0,0.0,A: manuscript matches a stored result
Table 4 mean PR-AUC,onset,MEAN(12),XGBoost-Onset,0.159,0.14105770791933167,0.1334,-0.0256,-0.0179,D/E: manuscript value has NO matching stored result
Table 4 mean PR-AUC,onset,MEAN(12),1D-CNN-Onset,0.089,0.09165905245151461,0.0877,-0.0013,0.0027,A: manuscript matches a stored result
Table 4 mean PR-AUC,onset,MEAN(12),LSTM-Onset,0.091,0.10262909062487673,0.1383,0.0473,0.0116,D/E: manuscript value has NO matching stored result
