station,feature,mean_abs_shap,normalized
Taebaek,시정(10m),1.983537197113037,0.277478396683405
Taebaek,기온(°C),0.16654235124588013,0.023297725230891037
Taebaek,이슬점온도(°C),0.09348582476377487,0.01307779698098585
Taebaek,습도(%),0.6582719683647156,0.09208612302775043
Taebaek,풍속(m/s),0.14179423451423645,0.01983569398609009
Taebaek,현지기압(hPa),0.1573859304189682,0.022016827159451812
Taebaek,지면온도(°C),0.1826312392950058,0.025548410958785548
Taebaek,dew_point_depression,0.4595704972743988,0.06428963617737904
Taebaek,hour,0.17906150221824646,0.025049037958832655
Taebaek,air_ground_diff,0.20513392984867096,0.02869632797540703
Taebaek,dpd_ratio,0.24805454909801483,0.03470052322382522
Taebaek,ground_air_diff,0.10447743535041809,0.014615421023020032
Taebaek,ground_air_diff_1h,0.1801399141550064,0.025199897753956195
Taebaek,rel_humid,0.23019319772720337,0.03220188637033683
Taebaek,weekday,0.04726807028055191,0.006612363193821471
Taebaek,is_weekend,0.006766414735466242,0.0009465584587094298
Taebaek,month_sin,0.1004585325717926,0.014053213920948767
Taebaek,month_cos,0.06876406073570251,0.009619452234197584
Taebaek,temp_lag_1,0.06590504199266434,0.009219502115762357
Taebaek,temp_lag_2,0.09438419342041016,0.013203470396557082
Taebaek,temp_lag_3,0.13774387538433075,0.01926908643318208
Taebaek,humidity_lag_1,0.13251188397407532,0.018537179519567345
Taebaek,humidity_lag_2,0.26837170124053955,0.037542703753580764
Taebaek,humidity_lag_3,0.1381547898054123,0.019326569537054167
Taebaek,vis_lag_1,0.6516132354736328,0.0911546282570701
Taebaek,vis_lag_2,0.12229196727275848,0.01710750827133124
Taebaek,vis_lag_3,0.12441965937614441,0.017405152598013268
Taebaek,temp_roll_mean_2h,0.06706341356039047,0.009381547519218419
Taebaek,humid_roll_std_2h,0.1324416846036911,0.01852735928086915
Daegwallyeong,시정(10m),1.5017800331115723,0.2683020143916771
Daegwallyeong,기온(°C),0.08905927836894989,0.01591097448349358
Daegwallyeong,이슬점온도(°C),0.06905730068683624,0.012337501148114804
Daegwallyeong,습도(%),0.6407976150512695,0.11448233905428748
Daegwallyeong,풍속(m/s),0.12701502442359924,0.02269199627075342
Daegwallyeong,현지기압(hPa),0.08888398110866547,0.015879656576067283
Daegwallyeong,지면온도(°C),0.08991796523332596,0.016064384044390742
Daegwallyeong,dew_point_depression,0.9468775987625122,0.16916536478645675
Daegwallyeong,hour,0.1181563287973404,0.02110933714025251
Daegwallyeong,air_ground_diff,0.22766895592212677,0.040674425109911164
Daegwallyeong,dpd_ratio,0.07514510303735733,0.013425123568076654
Daegwallyeong,ground_air_diff,0.098759725689888,0.017644017605205325
Daegwallyeong,ground_air_diff_1h,0.06657686829566956,0.011894357017523647
Daegwallyeong,rel_humid,0.22756989300251007,0.04065672692489161
Daegwallyeong,weekday,0.04423648118972778,0.007903112806881838
Daegwallyeong,is_weekend,0.002227881457656622,0.00039802439088010505
Daegwallyeong,month_sin,0.14443223178386688,0.025803684878142285
