station,feature,mean_abs_shap
Ganghwa,month_sin,0.040776822715997696
Ganghwa,month_cos,0.04863087087869644
Ganghwa,temp_lag_1,0.0625254362821579
Ganghwa,temp_lag_2,0.07770819962024689
Ganghwa,temp_lag_3,0.11818118393421173
Ganghwa,humidity_lag_1,0.0435047447681427
Ganghwa,humidity_lag_2,0.07173532992601395
Ganghwa,humidity_lag_3,0.12377318739891052
Ganghwa,vis_lag_1,0.9941579699516296
Ganghwa,vis_lag_2,0.3284980058670044
Ganghwa,vis_lag_3,0.04562881588935852
Ganghwa,temp_roll_mean_2h,0.03280215337872505
Ganghwa,humid_roll_std_2h,0.19804780185222626
Dongducheon,시정(10m),2.5348591804504395
Dongducheon,기온(°C),0.05917409434914589
Dongducheon,이슬점온도(°C),0.08275168389081955
Dongducheon,습도(%),0.42049452662467957
Dongducheon,풍속(m/s),0.1586565226316452
Dongducheon,현지기압(hPa),0.12935255467891693
Dongducheon,지면온도(°C),0.08020752668380737
Dongducheon,dew_point_depression,0.3707234561443329
Dongducheon,hour,0.15158064663410187
Dongducheon,air_ground_diff,0.20363518595695496
Dongducheon,dpd_ratio,0.11173257976770401
Dongducheon,ground_air_diff,0.08999035507440567
Dongducheon,ground_air_diff_1h,0.15714994072914124
Dongducheon,rel_humid,0.19864661991596222
Dongducheon,weekday,0.046880096197128296
Dongducheon,is_weekend,0.005296596325933933
Dongducheon,month_sin,0.10480321198701859
Dongducheon,month_cos,0.07646232843399048
Dongducheon,temp_lag_1,0.04257054254412651
Dongducheon,temp_lag_2,0.048548851162195206
Dongducheon,temp_lag_3,0.09188511222600937
Dongducheon,humidity_lag_1,0.05418631061911583
Dongducheon,humidity_lag_2,0.04291004687547684
Dongducheon,humidity_lag_3,0.05001853406429291
Dongducheon,vis_lag_1,0.882886528968811
Dongducheon,vis_lag_2,0.1600380688905716
Dongducheon,vis_lag_3,0.07677663117647171
Dongducheon,temp_roll_mean_2h,0.034320369362831116
Dongducheon,humid_roll_std_2h,0.04533436894416809
Paju,시정(10m),1.742821216583252
Paju,기온(°C),0.10577072203159332
Paju,이슬점온도(°C),0.08725098520517349
Paju,습도(%),0.3348403573036194
Paju,풍속(m/s),0.2057439237833023
Paju,현지기압(hPa),0.20111635327339172
Paju,지면온도(°C),0.16011498868465424
Paju,dew_point_depression,0.4404812455177307
Paju,hour,0.24974703788757324
Paju,air_ground_diff,0.17191727459430695
Paju,dpd_ratio,0.0691760927438736
Paju,ground_air_diff,0.07415754348039627
Paju,ground_air_diff_1h,0.10273780673742294
Paju,rel_humid,0.08929625153541565
Paju,weekday,0.03587545454502106
Paju,is_weekend,0.00749499537050724
Paju,month_sin,0.15232990682125092
Paju,month_cos,0.0798192173242569
Paju,temp_lag_1,0.061949484050273895
Paju,temp_lag_2,0.050464410334825516
Paju,temp_lag_3,0.08842875808477402
Paju,humidity_lag_1,0.14805226027965546
Paju,humidity_lag_2,0.1930236518383026
Paju,humidity_lag_3,0.16509801149368286
Paju,vis_lag_1,0.4404013156890869
Paju,vis_lag_2,0.08179421722888947
Paju,vis_lag_3,0.16082148253917694
Paju,temp_roll_mean_2h,0.06008545681834221
Paju,humid_roll_std_2h,0.13779722154140472
Cheorwon,시정(10m),2.1586389541625977
Cheorwon,기온(°C),0.08724192529916763
Cheorwon,이슬점온도(°C),0.12254627794027328
Cheorwon,습도(%),0.19464637339115143
Cheorwon,풍속(m/s),0.12033306807279587
Cheorwon,현지기압(hPa),0.21190807223320007
Cheorwon,지면온도(°C),0.150420144200325
Cheorwon,dew_point_depression,0.39405906200408936
Cheorwon,hour,0.15483811497688293
Cheorwon,air_ground_diff,0.2378043681383133
Cheorwon,dpd_ratio,0.09408862143754959
Cheorwon,ground_air_diff,0.0889468863606453
Cheorwon,ground_air_diff_1h,0.13280709087848663
Cheorwon,rel_humid,0.08178772032260895
Cheorwon,weekday,0.04057092219591141
Cheorwon,is_weekend,0.00960739515721798
Cheorwon,month_sin,0.10836152732372284
Cheorwon,month_cos,0.0428561270236969
Cheorwon,temp_lag_1,0.08085231482982635
Cheorwon,temp_lag_2,0.08571473509073257
Cheorwon,temp_lag_3,0.11067470908164978
Cheorwon,humidity_lag_1,0.053501103073358536
Cheorwon,humidity_lag_2,0.0980321392416954
Cheorwon,humidity_lag_3,0.1579657942056656
Cheorwon,vis_lag_1,0.7476284503936768
Cheorwon,vis_lag_2,0.16443252563476562
Cheorwon,vis_lag_3,0.10472185164690018
Cheorwon,temp_roll_mean_2h,0.06343255937099457
Cheorwon,humid_roll_std_2h,0.22531145811080933
Chuncheon,시정(10m),2.3967227935791016
Chuncheon,기온(°C),0.12188678234815598
Chuncheon,이슬점온도(°C),0.08167031407356262
Chuncheon,습도(%),0.6783928871154785
Chuncheon,풍속(m/s),0.1826687902212143
Chuncheon,현지기압(hPa),0.2054196298122406
Chuncheon,지면온도(°C),0.30341365933418274
Chuncheon,dew_point_depression,0.9570949673652649
Chuncheon,hour,0.16582083702087402
Chuncheon,air_ground_diff,0.25739991664886475
Chuncheon,dpd_ratio,0.24004507064819336
Chuncheon,ground_air_diff,0.0813610777258873
Chuncheon,ground_air_diff_1h,0.11564173549413681
Chuncheon,rel_humid,0.24041976034641266
Chuncheon,weekday,0.06273354589939117
Chuncheon,is_weekend,0.007064404431730509
Chuncheon,month_sin,0.09451393038034439
Chuncheon,month_cos,0.10015568882226944
Chuncheon,temp_lag_1,0.09781523048877716
Chuncheon,temp_lag_2,0.053392212837934494
Chuncheon,temp_lag_3,0.11251044273376465
Chuncheon,humidity_lag_1,0.04538105055689812
Chuncheon,humidity_lag_2,0.10446155071258545
Chuncheon,humidity_lag_3,0.21722577512264252
Chuncheon,vis_lag_1,0.2796245515346527
Chuncheon,vis_lag_2,0.47060301899909973
Chuncheon,vis_lag_3,0.27732187509536743
Chuncheon,temp_roll_mean_2h,0.06299839168787003
Chuncheon,humid_roll_std_2h,0.12645336985588074
Inje,시정(10m),2.3020544052124023
Inje,기온(°C),0.08900631219148636
Inje,이슬점온도(°C),0.19475588202476501
Inje,습도(%),0.28097662329673767
Inje,풍속(m/s),0.536466121673584
Inje,현지기압(hPa),0.41920629143714905
Inje,지면온도(°C),0.16478195786476135
Inje,dew_point_depression,0.17588070034980774
Inje,hour,0.20331469178199768
Inje,air_ground_diff,0.2741767168045044
Inje,dpd_ratio,0.24438157677650452
Inje,ground_air_diff,0.1393384039402008
Inje,ground_air_diff_1h,0.2786942422389984
Inje,rel_humid,0.1808232218027115
Inje,weekday,0.08191987127065659
Inje,is_weekend,0.0142811955884099
Inje,month_sin,0.08518669754266739
Inje,month_cos,0.13312040269374847
Inje,temp_lag_1,0.0950738862156868
Inje,temp_lag_2,0.07281406968832016
Inje,temp_lag_3,0.09418918192386627
Inje,humidity_lag_1,0.06944211572408676
Inje,humidity_lag_2,0.07975587993860245
Inje,humidity_lag_3,0.10490524023771286
Inje,vis_lag_1,1.3528767824172974
Inje,vis_lag_2,0.6365740895271301
Inje,vis_lag_3,0.7589914798736572
Inje,temp_roll_mean_2h,0.045403894037008286
Inje,humid_roll_std_2h,0.12942267954349518
Sokcho,시정(10m),2.0849485397338867
Sokcho,기온(°C),0.19187688827514648
Sokcho,이슬점온도(°C),0.0877736508846283
Sokcho,습도(%),0.6723906397819519
Sokcho,풍속(m/s),0.17488865554332733
Sokcho,현지기압(hPa),0.23806431889533997
Sokcho,지면온도(°C),0.1000022441148758
Sokcho,dew_point_depression,1.1310418844223022
Sokcho,hour,0.173546701669693
Sokcho,air_ground_diff,0.20638002455234528
Sokcho,dpd_ratio,0.35808107256889343
Sokcho,ground_air_diff,0.10187137871980667
Sokcho,ground_air_diff_1h,0.12262343615293503
Sokcho,rel_humid,0.19829143583774567
Sokcho,weekday,0.08073209226131439
Sokcho,is_weekend,0.008970685303211212
Sokcho,month_sin,0.17426005005836487
Sokcho,month_cos,0.1468205749988556
Sokcho,temp_lag_1,0.08251281827688217
Sokcho,temp_lag_2,0.07404076308012009
Sokcho,temp_lag_3,0.11784762144088745
Sokcho,humidity_lag_1,0.12425795197486877
Sokcho,humidity_lag_2,0.07948048412799835
Sokcho,humidity_lag_3,0.080011747777462
Sokcho,vis_lag_1,0.5262013077735901
Sokcho,vis_lag_2,0.17819638550281525
Sokcho,vis_lag_3,0.3918657600879669
Sokcho,temp_roll_mean_2h,0.07761191576719284
Sokcho,humid_roll_std_2h,0.18446914851665497
Seoul,시정(10m),1.6348298788070679
Seoul,기온(°C),0.3448014259338379
Seoul,이슬점온도(°C),0.15695230662822723
Seoul,습도(%),0.591376006603241
Seoul,풍속(m/s),0.2811424136161804
Seoul,현지기압(hPa),0.35739266872406006
Seoul,지면온도(°C),0.31778037548065186
Seoul,dew_point_depression,1.0371500253677368
Seoul,hour,0.3323155641555786
Seoul,air_ground_diff,0.686801552772522
Seoul,dpd_ratio,0.26813098788261414
Seoul,ground_air_diff,0.32339736819267273
Seoul,ground_air_diff_1h,0.32049864530563354
Seoul,rel_humid,0.20951829850673676
Seoul,weekday,0.1081131100654602
Seoul,is_weekend,0.031069420278072357
Seoul,month_sin,0.165357306599617
Seoul,month_cos,0.19235458970069885
Seoul,temp_lag_1,0.14875225722789764
Seoul,temp_lag_2,0.12354938685894012
Seoul,temp_lag_3,0.24383538961410522
Seoul,humidity_lag_1,0.130341038107872
Seoul,humidity_lag_2,0.18732993304729462
Seoul,humidity_lag_3,0.2582511603832245
Seoul,vis_lag_1,0.4726755619049072
Seoul,vis_lag_2,0.12692680954933167
Seoul,vis_lag_3,0.16253365576267242
Seoul,temp_roll_mean_2h,0.17032814025878906
Seoul,humid_roll_std_2h,0.20039433240890503
