station,model,transition,n_positive,n_detected,recall
Inje,LSTM,1->1,11,1,0.09090909090909091
Inje,LSTM,false_alarm,16537,71,
Sokcho,Persistence,0->1,27,0,0.0
Sokcho,Persistence,1->1,34,34,1.0
Sokcho,Persistence,false_alarm,16268,26,
Sokcho,XGBoost,0->1,27,5,0.18518518518518517
Sokcho,XGBoost,1->1,34,28,0.8235294117647058
Sokcho,XGBoost,false_alarm,16268,36,
Sokcho,1D-CNN,0->1,27,9,0.3333333333333333
Sokcho,1D-CNN,1->1,34,20,0.5882352941176471
Sokcho,1D-CNN,false_alarm,16268,174,
Sokcho,LSTM,0->1,27,5,0.18518518518518517
Sokcho,LSTM,1->1,34,27,0.7941176470588235
Sokcho,LSTM,false_alarm,16268,91,
Seoul,Persistence,0->1,31,0,0.0
Seoul,Persistence,1->1,25,25,1.0
Seoul,Persistence,false_alarm,17120,31,
Seoul,XGBoost,0->1,31,20,0.6451612903225806
Seoul,XGBoost,1->1,25,25,1.0
Seoul,XGBoost,false_alarm,17120,393,
Seoul,1D-CNN,0->1,31,19,0.6129032258064516
Seoul,1D-CNN,1->1,25,22,0.88
Seoul,1D-CNN,false_alarm,17120,819,
Seoul,LSTM,0->1,31,23,0.7419354838709677
Seoul,LSTM,1->1,25,24,0.96
Seoul,LSTM,false_alarm,17120,1298,
